"filename", "language", "PHP", "Python", "JSON with Comments", "Markdown", "HTML", "JavaScript", "CSS", "Java", "XML", "Batch", "Properties", "comment", "blank", "total"
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 1, 171
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 1, 160
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 3, 4, 46
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\values-night\themes.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 0, 16
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 0, 16
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 10, 0, 13
